S.No,State,State ID,District ,District ID,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²)
655,Puducherry (PY),Q,Mahe,01,Mahé,"41,934",9,"4,659"
467,Puducherry (PY),Q,Pondicherry,02,Pondicherry,"946,600",293,"3,231"
649,Puducherry (PY),Q,Yanam,03,Yanam,"55,616",17,"3,272"
176,Punjab (PB),R,Amritsar,00,Amritsar,"2,490,891","2,673",932
535,Punjab (PB),R,Barnala,01,Barnala,"596,294","1,423",419
353,Punjab (PB),R,Bathinda,02,Bathinda,"1,388,859","3,355",414
527,Punjab (PB),R,Faridkot,03,Faridkot,"618,008","1,472",424
533,Punjab (PB),R,Fatehgarh Sahib,04,Fatehgarh Sahib,"599,814","1,180",508
661,Punjab (PB),R,Fazilka,05,Fazilka,,-, —
232,Punjab (PB),R,Firozpur,06,Firozpur,"2,026,831","5,334",380
197,Punjab (PB),R,Gurdaspur,07,Gurdaspur,"2,299,026","3,542",649
315,Punjab (PB),R,Hoshiarpur,08,Hoshiarpur,"1,582,793","3,397",466
211,Punjab (PB),R,Jalandhar,09,Jalandhar,"2,181,753","2,625",831
487,Punjab (PB),R,Kapurthala,10,Kapurthala,"817,668","1,646",501
87,Punjab (PB),R,Ludhiana,11,Ludhiana,"3,487,882","3,744",975
495,Punjab (PB),R,Mansa,12,Mansa,"768,808","2,174",350
453,Punjab (PB),R,Moga,13,Moga,"992,289","2,235",444
234,Punjab (PB),R,Pathankot,14,Pathankot,"1,998,464",,398
130,Punjab (PB),R,Patiala,15,Patiala,"2,892,282","3,175",596
513,Punjab (PB),R,Rupnagar,16,Rupnagar,"683,349","1,400",488
456,Punjab (PB),R,Sahibzada Ajit Singh Nagar,17,Ajitgarh,"986,147","1,188",830
303,Punjab (PB),R,Sangrur,18,Sangrur,"1,654,408","3,685",449
530,Punjab (PB),R,Shahid Bhagat Singh Nagar,19,Nawanshahr,"614,362","1,283",479
472,Punjab (PB),R,Sri Muktsar Sahib,20,Sri Muktsar Sahib,"902,702","2,596",348
416,Punjab (PB),R,Tarn Taran,21,Tarn Taran Sahib,"1,120,070","2,414",464
162,Rajasthan (RJ),S,Ajmer,00,Ajmer,"2,584,913","8,481",305
76,Rajasthan (RJ),S,Alwar,01,Alwar,"3,671,999","8,380",438
269,Rajasthan (RJ),S,Banswara,02,Banswara,"1,798,194","5,037",399
391,Rajasthan (RJ),S,Baran,03,Baran,"1,223,921","6,955",175
158,Rajasthan (RJ),S,Barmer,04,Barmer,"2,604,453","28,387",92
167,Rajasthan (RJ),S,Bharatpur,05,Bharatpur,"2,549,121","5,066",503
185,Rajasthan (RJ),S,Bhilwara,06,Bhilwara,"2,410,459","10,455",230
192,Rajasthan (RJ),S,Bikaner,07,Bikaner,"2,367,745","27,244",78
418,Rajasthan (RJ),S,Bundi,08,Bundi,"1,113,725","5,550",193
324,Rajasthan (RJ),S,Chittorgarh,09,Chittorgarh,"1,544,392","10,856",193
226,Rajasthan (RJ),S,Churu,10,Churu,"2,041,172","16,830",148
307,Rajasthan (RJ),S,Dausa,11,Dausa,"1,637,226","3,429",476
397,Rajasthan (RJ),S,Dholpur,12,Dholpur,"1,207,293","3,084",398
352,Rajasthan (RJ),S,Dungapur,13,Dungarpur,"1,388,906","3,771",368
238,Rajasthan (RJ),S,Ganganagar,14,Ganganagar,"1,969,520","10,990",179
271,Rajasthan (RJ),S,Hanumangarh,15,Hanumangarh,"1,779,650","9,670",184
10,Rajasthan (RJ),S,Jaipur,16,Jaipur,"6,663,971","11,152",598
514,Rajasthan (RJ),S,Jaisalmer,17,Jaisalmer,"672,008","38,401",17
262,Rajasthan (RJ),S,Jalore,18,Jalore,"1,830,151","10,640",172
350,Rajasthan (RJ),S,Jhalawar,19,Jhalawar,"1,411,327","6,219",227
216,Rajasthan (RJ),S,Jhunjhunu,20,Jhunjhunu,"2,139,658","5,928",361
72,Rajasthan (RJ),S,Jodhpur,21,Jodhpur,"3,685,681","22,850",161
341,Rajasthan (RJ),S,Karauli,22,Karauli,"1,458,459","5,530",264
242,Rajasthan (RJ),S,Kota,23,Kota,"1,950,491","5,446",374
101,Rajasthan (RJ),S,Nagaur,24,Nagaur,"3,309,234","17,718",187
227,Rajasthan (RJ),S,Pali,25,Pali,"2,038,533","12,387",165
479,Rajasthan (RJ),S,Pratapgarh,26,Pratapgarh,"868,231","4,112",211
408,Rajasthan (RJ),S,Rajsamand,27,Rajsamand,"1,158,283","3,853",302
364,Rajasthan (RJ),S,Sawai Madhopur,28,Sawai Madhopur,"1,338,114","4,500",257
151,Rajasthan (RJ),S,Sikar,29,Sikar,"2,677,737","7,732",346
442,Rajasthan (RJ),S,Sirohi,30,Sirohi,"1,037,185","5,136",202
348,Rajasthan (RJ),S,Tonk,31,Tonk,"1,421,711","7,194",198
118,Rajasthan (RJ),S,Udaipur,32,Udaipur,"3,067,549","13,430",242
589,Sikkim (SK),T,East Sikkim,00,Gangtok,"281,293",954,295
654,Sikkim (SK),T,North Sikkim,01,Mangan,"43,354","4,226",10
618,Sikkim (SK),T,South Sikkim,02,Namchi,"146,742",750,196
626,Sikkim (SK),T,West Sikkim,03,Geyzing,"136,299","1,166",117
498,Tamil Nadu (TN),U,Ariyalur,00,Ariyalur,"752,481","3,208",387
26,Tamil Nadu (TN),U,Chennai,01,Chennai (Madras),"4,681,087",174,"26,903"
90,Tamil Nadu (TN),U,Coimbatore,02,Coimbatore,"3,472,578","7,469",748
159,Tamil Nadu (TN),U,Cuddalore,03,Cuddalore,"2,600,880","3,999",702
335,Tamil Nadu (TN),U,Dharmapuri,04,Dharmapuri,"1,502,900","4,532",332
213,Tamil Nadu (TN),U,Dindigul,05,Dindigul,"2,161,367","6,058",357
201,Tamil Nadu (TN),U,Erode,06,Erode,"2,259,608","5,714",397
59,Tamil Nadu (TN),U,Kanchipuram,07,Kanchipuram,"3,990,897","4,433",927
135,Tamil Nadu (TN),U,Kanyakumari,08,Nagercoil,"2,863,178","1,685","1,106"
425,Tamil Nadu (TN),U,Karur,09,Karur,"1,076,588","2,901",371
254,Tamil Nadu (TN),U,Krishnagiri,10,Krishnagiri,"1,883,731","5,086",370
58,Tamil Nadu (TN),U,Madurai,11,Madurai,"3,991,038","3,676",823
311,Tamil Nadu (TN),U,Nagapattinam,12,Nagapattinam,"1,614,069","2,716",668
283,Tamil Nadu (TN),U,Namakkal,13,Namakkal,"1,721,179","3,429",506
502,Tamil Nadu (TN),U,Nilgiris,14,Udagamandalam (Ootacamund/Ooty),"735,071","2,549",288
545,Tamil Nadu (TN),U,Perambalur,15,Perambalur,"564,511","1,752",323
250,Tamil Nadu (TN),U,Pudukkottai,16,Pudukkottai,"1,918,725","4,651",348
365,Tamil Nadu (TN),U,Ramanathapuram,17,Ramanathapuram,"1,337,560","4,123",320
89,Tamil Nadu (TN),U,Salem,18,Salem,"3,480,008","5,245",663
362,Tamil Nadu (TN),U,Sivaganga,19,Sivaganga,"1,341,250","4,086",324
186,Tamil Nadu (TN),U,Thanjavur,20,Thanjavur,"2,402,781","3,397",691
388,Tamil Nadu (TN),U,Theni,21,Theni,"1,243,684","3,066",433
279,Tamil Nadu (TN),U,Thoothukudi,22,Thoothukudi (Tuticorin),"1,738,376","4,594",378
147,Tamil Nadu (TN),U,Tiruchirappalli,23,Tiruchirappalli,"2,713,858","4,407",602
116,Tamil Nadu (TN),U,Tirunelveli,24,Tirunelveli,"3,072,880","6,703",458
177,Tamil Nadu (TN),U,Tirupur,25,Tirupur,"2,471,222","5,106",476
69,Tamil Nadu (TN),U,Tiruvallur,26,Tiruvallur,"3,725,697","3,424","1,049"
178,Tamil Nadu (TN),U,Tiruvannamalai,27,Tiruvannaamalai,"2,468,965","6,191",399
384,Tamil Nadu (TN),U,Tiruvarur,28,Tiruvarur,"1,268,094","2,377",533
63,Tamil Nadu (TN),U,Vellore,29,Vellore,"3,928,106","6,077",646
92,Tamil Nadu (TN),U,Viluppuram,30,Viluppuram,"3,463,284","7,190",462
245,Tamil Nadu (TN),U,Virudhunagar,31,Virudhunagar,"1,943,309","3,446",454
144,Telangana (TS),V,Adilabad,00,Adilabad,"2,737,738","16,105",170
56,Telangana (TS),V,Hyderabad,01,Hyderabad,"4,010,238",217,"18,480"
67,Telangana (TS),V,Karimnagar,02,Karimnagar,"3,811,738","11,823",322
141,Telangana (TS),V,Khammam,03,Khammam,"2,798,214","16,029",175
54,Telangana (TS),V,Mahbubnagar,04,Mahbubnagar,"4,042,191","18,432",219
120,Telangana (TS),V,Medak,05,Sangareddi,"3,031,877","9,699",313
88,Telangana (TS),V,Nalgonda,06,Nalgonda,"3,483,648","14,240",245
166,Telangana (TS),V,Nizamabad,07,Nizamabad,"2,552,073","7,956",321
15,Telangana (TS),V,Ranga Reddy,08,Hyderabad,"5,296,396","7,493",707
82,Telangana (TS),V,Warangal,09,Warangal,"3,522,644","12,846",274
578,Tripura (TR),W,Dhalai,00,Ambassa,"377,988","2,400",157
564,Tripura (TR),W,Gomati,01,"Udaipur, Tripura","436,868",1522.8,287
582,Tripura (TR),W,Khowai,02,Khowai,"327,391",1005.67,326
569,Tripura (TR),W,North Tripura,03,Dharmanagar,"415,946",1444.5,288
556,Tripura (TR),W,Sepahijala,04,Bishramganj,"484,233",1044.78,463
565,Tripura (TR),W,South Tripura,05,Belonia,"433,737",1534.2,283
590,Tripura (TR),W,Unokoti,06,Kailashahar,"277,335",591.93,469
470,Tripura (TR),W,West Tripura,07,Agartala,"917,534",942.55,973
41,Uttar Pradesh (UP),X,Agra,00,Agra,"4,380,793","4,027","1,084"
75,Uttar Pradesh (UP),X,Aligarh,01,Aligarh,"3,673,849","3,747","1,007"
12,Uttar Pradesh (UP),X,Allahabad,02,Allahabad,"5,959,798","5,481","1,087"
187,Uttar Pradesh (UP),X,Ambedkar Nagar,03,Akbarpur,"2,398,709","2,372","1,021"
676,Uttar Pradesh (UP),X,Amethi (Chhatrapati Shahuji Maharaj Nagar),04,Gauriganj,,,
358,Uttar Pradesh (UP),X,Auraiya,05,Auraiya,"1,372,287","2,051",681
29,Uttar Pradesh (UP),X,Azamgarh,06,Azamgarh,"4,616,509","4,053","1,139"
378,Uttar Pradesh (UP),X,Bagpat,07,Baghpat,"1,302,156","1,345",986
189,Uttar Pradesh (UP),X,Bahraich,08,Bahraich,"2,384,239","4,926",415
107,Uttar Pradesh (UP),X,Ballia,09,Ballia,"3,223,642","2,981","1,081"
215,Uttar Pradesh (UP),X,Balrampur,10,Balrampur,"2,149,066","3,349",642
267,Uttar Pradesh (UP),X,Banda,11,Banda,"1,799,541","4,413",404
106,Uttar Pradesh (UP),X,Barabanki,12,Barabanki,"3,257,983","3,825",739
38,Uttar Pradesh (UP),X,Bareilly,13,Bareilly,"4,465,344","4,120","1,084"
180,Uttar Pradesh (UP),X,Basti,14,Basti,"2,461,056","2,687",916
73,Uttar Pradesh (UP),X,Bijnor,15,Bijnor,"3,683,896","4,561",808
70,Uttar Pradesh (UP),X,Budaun,16,Budaun,"3,712,738","5,168",718
85,Uttar Pradesh (UP),X,Bulandshahr,17,Bulandshahr,"3,498,507","3,719",788
241,Uttar Pradesh (UP),X,Chandauli,18,Chandauli,"1,952,713","2,554",768
454,Uttar Pradesh (UP),X,Chitrakoot,19,Chitrakoot,"990,626","3,202",315
114,Uttar Pradesh (UP),X,Deoria,20,Deoria,"3,098,637","2,535","1,220"
274,Uttar Pradesh (UP),X,Etah,21,Etah,"1,761,152","2,456",717
316,Uttar Pradesh (UP),X,Etawah,22,Etawah,"1,579,160","2,287",683
179,Uttar Pradesh (UP),X,Faizabad,23,Faizabad,"2,468,371","2,765","1,054"
253,Uttar Pradesh (UP),X,Farrukhabad,24,Fatehgarh,"1,887,577","2,279",865
155,Uttar Pradesh (UP),X,Fatehpur,25,Fatehpur,"2,632,684","4,152",634
174,Uttar Pradesh (UP),X,Firozabad,26,Firozabad,"2,496,761","2,361","1,044"
296,Uttar Pradesh (UP),X,Gautam Buddh Nagar,27,Noida,"1,674,714","1,269","1,252"
27,Uttar Pradesh (UP),X,Ghaziabad,28,Ghaziabad,"4,661,452","1,175","3,967"
79,Uttar Pradesh (UP),X,Ghazipur,29,Ghazipur,"3,622,727","3,377","1,072"
94,Uttar Pradesh (UP),X,Gonda,30,Gonda,"3,431,386","4,425",857
39,Uttar Pradesh (UP),X,Gorakhpur,31,Gorakhpur,"4,436,275","3,325","1,336"
420,Uttar Pradesh (UP),X,Hamirpur,32,Hamirpur,"1,104,021","4,325",268
344,Uttar Pradesh (UP),X,Hapur (Panchsheel Nagar),33,Hapur,"1,451,983",,
50,Uttar Pradesh (UP),X,Hardoi,34,Hardoi,"4,091,380","5,986",683
319,Uttar Pradesh (UP),X,Hathras (Mahamaya Nagar),35,Hathras,"1,565,678","1,752",851
298,Uttar Pradesh (UP),X,Jalaun,36,Orai,"1,670,718","4,565",366
35,Uttar Pradesh (UP),X,Jaunpur district,37,Jaunpur,"4,476,072","4,038","1,108"
233,Uttar Pradesh (UP),X,Jhansi,38,Jhansi,"2,000,755","5,024",398
260,Uttar Pradesh (UP),X,Jyotiba Phule Nagar,39,Amroha,"1,838,771","2,321",818
301,Uttar Pradesh (UP),X,Kannauj,40,Kannauj,"1,658,005","1,993",792
270,Uttar Pradesh (UP),X,Kanpur Dehat (Ramabai Nagar),41,Akbarpur (Mati),"1,795,092","3,021",594
31,Uttar Pradesh (UP),X,Kanpur Nagar,42,Kanpur,"4,572,951","3,156","1,415"
347,Uttar Pradesh (UP),X,Kanshi Ram Nagar,43,Kasganj,"1,438,156","1,955",736
314,Uttar Pradesh (UP),X,Kaushambi,44,Manjhanpur,"1,596,909","1,837",897
81,Uttar Pradesh (UP),X,Kushinagar,45,Padrauna,"3,560,830","2,909","1,226"
55,Uttar Pradesh (UP),X,Lakhimpur Kheri,46,Lakhimpur,"4,013,634","7,674",523
393,Uttar Pradesh (UP),X,Lalitpur,47,Lalitpur,"1,218,002","5,039",242
30,Uttar Pradesh (UP),X,Lucknow,48,Lucknow,"4,588,455","2,528","1,815"
152,Uttar Pradesh (UP),X,Maharajganj,49,Maharajganj,"2,665,292","2,953",903
477,Uttar Pradesh (UP),X,Mahoba,50,Mahoba,"876,055","2,847",288
257,Uttar Pradesh (UP),X,Mainpuri,51,Mainpuri,"1,847,194","2,760",670
168,Uttar Pradesh (UP),X,Mathura,52,Mathura,"2,541,894","3,333",761
208,Uttar Pradesh (UP),X,Mau,53,Mau,"2,205,170","1,713","1,287"
93,Uttar Pradesh (UP),X,Meerut,54,Meerut,"3,447,405","2,522","1,342"
175,Uttar Pradesh (UP),X,Mirzapur,55,Mirzapur,"2,494,533","4,522",561
25,Uttar Pradesh (UP),X,Moradabad,56,Moradabad,"4,773,138","3,718","1,284"
48,Uttar Pradesh (UP),X,Muzaffarnagar,57,Muzaffarnagar,"4,138,605","4,008","1,033"
228,Uttar Pradesh (UP),X,Pilibhit,58,Pilibhit,"2,037,225","3,499",567
108,Uttar Pradesh (UP),X,Pratapgarh,59,Pratapgarh,"3,173,752","3,717",854
96,Uttar Pradesh (UP),X,Raebareli,60,Raebareli,"3,404,004","4,609",739
195,Uttar Pradesh (UP),X,Rampur,61,Rampur,"2,335,398","2,367",987
91,Uttar Pradesh (UP),X,Saharanpur,62,Saharanpur,"3,464,228","3,689",939
206,Uttar Pradesh (UP),X,Sambhal(Bheem Nagar),63,Sambhal,"2,217,020",-,-
284,Uttar Pradesh (UP),X,Sant Kabir Nagar,64,Khalilabad,"1,714,300","1,442","1,014"
321,Uttar Pradesh (UP),X,Sant Ravidas Nagar,65,Gyanpur,"1,554,203",960,"1,531"
122,Uttar Pradesh (UP),X,Shahjahanpur,66,Shahjahanpur,"3,002,376","4,575",673
662,Uttar Pradesh (UP),X,Shamli,67,Shamli,,, —
417,Uttar Pradesh (UP),X,Shravasti,68,Shravasti,"1,114,615","1,948",572
165,Uttar Pradesh (UP),X,Siddharthnagar,69,Navgarh,"2,553,526","2,751",882
37,Uttar Pradesh (UP),X,Sitapur,70,Sitapur,"4,474,446","5,743",779
256,Uttar Pradesh (UP),X,Sonbhadra,71,Robertsganj,"1,862,612","6,788",274
68,Uttar Pradesh (UP),X,Sultanpur,72,Sultanpur,"3,790,922","4,436",855
112,Uttar Pradesh (UP),X,Unnao,73,Unnao,"3,110,595","4,561",682
74,Uttar Pradesh (UP),X,Varanasi,74,Varanasi,"3,682,194","1,535","2,399"
525,Uttarakhand (UK),Y,Almora,00,Almora,"621,927","3,090",198
595,Uttarakhand (UK),Y,Bageshwar,01,Bageshwar,"259,840","2,310",116
573,Uttarakhand (UK),Y,Chamoli,02,Gopeshwar,"391,114","7,692",49
597,Uttarakhand (UK),Y,Champawat,03,Champawat,"259,315","1,781",147
292,Uttarakhand (UK),Y,Dehradun,04,Dehradun,"1,698,560","3,088",550
247,Uttarakhand (UK),Y,Haridwar,05,Haridwar,"1,927,029","2,360",817
464,Uttarakhand (UK),Y,Nainital,06,Nainital,"955,128","3,853",225
512,Uttarakhand (UK),Y,Pauri Garhwal,07,Pauri,"686,527","5,438",129
555,Uttarakhand (UK),Y,Pithoragarh,08,Pithoragarh,"485,993","7,110",69
603,Uttarakhand (UK),Y,Rudraprayag,09,Rudraprayag,"236,857","1,896",119
528,Uttarakhand (UK),Y,Tehri Garhwal,10,New Tehri,"616,409","4,085",169
305,Uttarakhand (UK),Y,Udham Singh Nagar,11,Rudrapur,"1,648,367","2,912",648
581,Uttarakhand (UK),Y,Uttarkashi,12,Uttarkashi,"329,686","7,951",41
291,West Bengal (WB),Z,Alipurduar,00,Alipurduar,"1,700,000","3,383",400
80,West Bengal (WB),Z,Bankura,01,Bankura,"3,596,292","6,882",523
7,West Bengal (WB),Z,Bardhaman,02,Bardhaman,"7,723,663","7,024","1,100"
84,West Bengal (WB),Z,Birbhum,03,Suri,"3,502,387","4,545",771
137,West Bengal (WB),Z,Cooch Behar,04,Cooch Behar,"2,822,780","3,387",833
297,West Bengal (WB),Z,Dakshin Dinajpur,05,Balurghat,"1,670,931","2,183",753
259,West Bengal (WB),Z,Darjeeling,06,Darjeeling,"1,842,034","3,149",585
14,West Bengal (WB),Z,Hooghly,07,Hugli-Chuchura,"5,520,389","3,149","1,753"
22,West Bengal (WB),Z,Howrah,08,Howrah,"4,841,638","1,467","3,300"
66,West Bengal (WB),Z,Jalpaiguri,09,Jalpaiguri,"3,869,675","6,227",621
34,West Bengal (WB),Z,Kolkata,10,Kolkata,"4,486,679",185,"24,252"
57,West Bengal (WB),Z,Maldah,11,English Bazar,"3,997,970","3,733","1,071"
9,West Bengal (WB),Z,Murshidabad,12,Baharampur,"7,102,430","5,324","1,334"
16,West Bengal (WB),Z,Nadia,13,Krishnanagar,"5,168,488","3,927","1,316"
2,West Bengal (WB),Z,North 24 Parganas,14,Barasat,"10,082,852","4,094","2,463"
18,West Bengal (WB),Z,Paschim Medinipur,15,Midnapore,"5,094,238","9,345","1,076"
40,West Bengal (WB),Z,Purba Medinipur,16,Tamluk,"4,417,377","4,736",923
128,West Bengal (WB),Z,Purulia,17,Purulia,"2,927,965","6,259",468
6,West Bengal (WB),Z,South 24 Parganas,18,Alipore,"8,153,176","9,960",819
123,West Bengal (WB),Z,Uttar Dinajpur,19,Raiganj,"3,000,849","3,180",956
